Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_SMD_HandSolder,1,RaspberryPi_Pico_W,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_SOD-123,63,D,
"K1, K10, K11, K12, K13, K14, K15, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K28, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K39, K4, K40, K41, K44, K45, K46, K47, K48, K49, K5, K50, K51, K52, K53, K54, K55, K56, K6, K61, K62, K63, K7, K8, K9",MXOnly-1U-Hotswap,55,KEYSW,
K16,MXOnly-1.5U-Hotswap,1,KEYSW,
K29,MXOnly-1.75U-Hotswap,1,KEYSW,
K42,MXOnly-ISO-Hotswap,1,KEYSW,
K43,MXOnly-2U-Hotswap-ReversedStabilizers,1,KEYSW,
"K57, K58, K59",MXOnly-1.25U-Hotswap,3,KEYSW,
K60,MXOnly-6.25U-Hotswap-ReversedStabilizers,1,KEYSW,
O1,SSD1306-0.91-OLED-4pin-128x32,1,Conn_01x04,
RV1,potentiometer_slider_45mm,1,R_POT,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch_MP,
