Designator,Mid X,Mid Y,Rotation,Layer
A1,71.05,81.93,90.0,top
D1,61.0875,55.021876,90.0,bottom
D10,232.5375,55.021876,90.0,bottom
D11,251.5875,55.021876,90.0,bottom
D12,270.6375,55.021876,90.0,bottom
D13,289.6875,55.021876,90.0,bottom
D14,308.7375,55.021876,90.0,bottom
D15,327.7875,55.021876,90.0,bottom
D16,65.85,35.971876,90.0,bottom
D17,89.6625,35.975001,90.0,bottom
D18,108.7125,35.971876,90.0,bottom
D19,127.7625,35.971876,90.0,bottom
D2,80.23125,55.075001,90.0,bottom
D20,146.8125,35.971876,90.0,bottom
D21,165.8625,35.971876,90.0,bottom
D22,184.9125,35.971876,90.0,bottom
D23,203.9625,35.971876,90.0,bottom
D24,223.0125,35.971876,90.0,bottom
D25,242.0625,35.971876,90.0,bottom
D26,261.1125,35.971876,90.0,bottom
D27,280.1625,35.971876,90.0,bottom
D28,299.2125,35.971876,90.0,bottom
D29,68.23125,16.921876,90.0,bottom
D3,99.1875,55.021876,90.0,bottom
D30,94.425,16.921876,90.0,bottom
D31,113.53125,16.875001,90.0,bottom
D32,132.525,16.921876,90.0,bottom
D33,151.575,16.921876,90.0,bottom
D34,170.625,16.921876,90.0,bottom
D35,189.675,16.921876,90.0,bottom
D36,208.725,16.921876,90.0,bottom
D37,227.775,16.921876,90.0,bottom
D38,246.825,16.921876,90.0,bottom
D39,265.875,16.921876,90.0,bottom
D4,118.2375,55.021876,90.0,bottom
D40,284.925,16.921876,90.0,bottom
D41,303.975,16.921876,90.0,bottom
D42,325.40625,26.446876,90.0,bottom
D43,70.6125,-2.128124,90.0,bottom
D44,99.1875,-2.128124,90.0,bottom
D45,118.33125,-2.124999,90.0,bottom
D46,137.4,-2.175,90.0,bottom
D47,156.325,-2.175,90.0,bottom
D48,175.3875,-2.128124,90.0,bottom
D49,194.4375,-2.128124,90.0,bottom
D5,137.2875,55.021876,90.0,bottom
D50,213.4875,-2.128124,90.0,bottom
D51,232.5375,-2.128124,90.0,bottom
D52,251.5875,-2.128124,90.0,bottom
D53,270.6375,-2.128124,90.0,bottom
D54,289.6875,-2.128124,90.0,bottom
D55,308.7375,-2.128124,90.0,bottom
D56,327.7875,-2.128124,90.0,bottom
D57,63.46875,-21.178124,90.0,bottom
D58,87.28125,-21.178124,90.0,bottom
D59,111.09375,-21.178124,90.0,bottom
D6,156.3375,55.021876,90.0,bottom
D60,182.53125,-21.178124,90.0,bottom
D61,289.6875,-21.178124,90.0,bottom
D62,308.7375,-21.178124,90.0,bottom
D63,327.7875,-21.178124,90.0,bottom
D7,175.3875,55.021876,90.0,bottom
D8,194.4375,55.021876,90.0,bottom
D9,213.4875,55.021876,90.0,bottom
K1,53.94375,58.593751,0.0,top
K10,225.39375,58.593751,0.0,top
K11,244.44375,58.593751,0.0,top
K12,263.49375,58.593751,0.0,top
K13,282.54375,58.593751,0.0,top
K14,301.59375,58.593751,0.0,top
K15,320.64375,58.593751,0.0,top
K16,58.70625,39.543751,0.0,top
K17,82.51875,39.543751,0.0,top
K18,101.56875,39.543751,0.0,top
K19,120.61875,39.543751,0.0,top
K2,72.99375,58.593751,0.0,top
K20,139.66875,39.543751,0.0,top
K21,158.71875,39.543751,0.0,top
K22,177.76875,39.543751,0.0,top
K23,196.81875,39.543751,0.0,top
K24,215.86875,39.543751,0.0,top
K25,234.91875,39.543751,0.0,top
K26,253.96875,39.543751,0.0,top
K27,273.01875,39.543751,0.0,top
K28,292.06875,39.543751,0.0,top
K29,61.0875,20.493751,0.0,top
K3,92.04375,58.593751,0.0,top
K30,87.28125,20.493751,0.0,top
K31,106.33125,20.493751,0.0,top
K32,125.38125,20.493751,0.0,top
K33,144.43125,20.493751,0.0,top
K34,163.48125,20.493751,0.0,top
K35,182.53125,20.493751,0.0,top
K36,201.58125,20.493751,0.0,top
K37,220.63125,20.493751,0.0,top
K38,239.68125,20.493751,0.0,top
K39,258.73125,20.493751,0.0,top
K4,111.09375,58.593751,0.0,top
K40,277.78125,20.493751,0.0,top
K41,296.83125,20.493751,0.0,top
K42,319.13245,30.018751,0.0,top
K43,63.46875,1.443751,0.0,top
K44,91.985,1.443751,0.0,top
K45,111.09375,1.443751,0.0,top
K46,130.14375,1.443751,0.0,top
K47,149.19375,1.443751,0.0,top
K48,168.24375,1.443751,0.0,top
K49,187.29375,1.443751,0.0,top
K5,130.14375,58.593751,0.0,top
K50,206.34375,1.443751,0.0,top
K51,225.39375,1.443751,0.0,top
K52,244.44375,1.443751,0.0,top
K53,263.49375,1.443751,0.0,top
K54,282.54375,1.443751,0.0,top
K55,301.59375,1.443751,0.0,top
K56,320.64375,1.443751,0.0,top
K57,56.325,-17.606249,0.0,top
K58,80.1375,-17.606249,0.0,top
K59,103.95,-17.606249,0.0,top
K6,149.19375,58.593751,0.0,top
K60,175.3875,-17.606249,0.0,top
K61,282.54375,-17.606249,0.0,top
K62,301.59375,-17.606249,0.0,top
K63,320.64375,-17.606249,0.0,top
K7,168.24375,58.593751,0.0,top
K8,187.29375,58.593751,0.0,top
K9,206.34375,58.593751,0.0,top
O1,236.45,-17.37,180.0,top
RV1,34.925,43.355,270.0,top
SW1,34.9325,1.225001,90.0,top
